Label,Left_Hip_q,Right_Hip_q,Left_Hip_qd,Right_Hip_qd,SampleTimeFine
brs,6.969404,10.62726,-27.8504921352573,9.37461155399108,1048507020
brs,6.243801,10.65953,-23.88059517687721,10.626521662854149,1048523687
brs,6.058708,10.45297,-18.792644045357164,12.051049220690617,1048540354
brs,5.840625,10.81099,-13.674881726472801,13.488640680157104,1048557021
brs,5.550327,11.24677,-8.551934796524998,14.945957880735005,1048573688
brs,5.326007,11.69777,-3.5070694161450553,16.40603746382098,1048590355
brs,5.354134,12.20749,1.3126623782189957,17.820830071645258,1048607022
brs,5.550411,12.52932,5.712856348969433,19.111237196034214,1048623689
brs,5.626365,12.91423,9.48657733183253,20.175422145974437,1048640356
brs,5.783376,12.77609,12.459412839552128,20.90464358365992,1048657023
brs,6.328943,12.77398,14.534018032707996,21.204386354208356,1048673690
brs,6.62464,13.10209,15.723624129820067,21.017351389962567,1048690357
brs,6.437454,13.728,16.166641722973527,20.34411101803593,1048707024
brs,6.77669,14.26306,16.118692026352583,19.257108194949925,1048723691
brs,7.215782,14.58448,15.923009340626406,17.90428829369256,1048740358
brs,7.393915,14.67998,15.964136854394505,16.50000803438576,1048757025
brs,7.626482,15.05174,16.612476361696718,15.302838476331624,1048773692
brs,7.668013,15.4261,18.168277434339725,14.582191501592817,1048790359
brs,7.910313,15.67524,20.813193760888467,14.57795870688284,1048807026
brs,8.493437,15.75476,24.575994698945692,15.459116815668802,1048823693
brs,9.289965,16.00859,29.316892523095483,17.288129700476116,1048840360
brs,9.872114,16.16396,34.73265705149962,19.997710280991257,1048857027
brs,10.32625,16.33881,40.382500915629876,23.385051661784562,1048873694
brs,10.70942,16.65546,45.73271153773888,27.126180971666084,1048890361
brs,11.24217,17.41568,50.21613798882104,30.810011332146487,1048907028
brs,11.89665,18.21509,53.30084954979455,33.98846280255082,1048923695
brs,12.92967,18.63915,54.5605898394012,36.236203191931224,1048940362
brs,14.17484,19.1641,53.738232974524635,37.211558389705225,1048957029
brs,15.2049,19.63692,50.792648446055715,36.709254850604935,1048973696
brs,16.04253,20.17758,45.91964588139806,34.69602116147491,1048990363
brs,16.72922,20.83073,39.53943083042427,31.321686063793617,1049007030
brs,17.28387,21.46893,32.24652027800067,26.901152781301974,1049023697
brs,17.43785,21.96257,24.723284719943766,21.866307561907824,1049040364
brs,17.53325,22.14974,17.624721151410668,16.6912575037332,1049057031
brs,17.6549,22.15005,11.448791156114213,11.798907690415463,1049073698
brs,18.10386,22.28882,6.412395629082271,7.4612584901590475,1049090365
brs,18.54384,22.44324,2.3563640543626536,3.709252228929497,1049107032
brs,18.71504,22.48441,-1.297581194364092,0.26972866157045616,1049123699
brs,18.43521,22.46341,-5.519870207522849,-3.4537343962367753,1049140366
brs,18.0872,22.48162,-11.567601334134325,-8.343214676480661,1049157033
brs,17.78677,22.42806,-20.805006472399683,-15.466366943229769,1049173700
brs,17.1815,22.10519,-34.46893175075571,-25.91813482239939,1049190367
brs,16.15214,21.32809,-53.41184704580426,-40.62003180215796,1049207034
brs,14.96655,20.23918,-77.8642463707016,-60.10388486181637,1049223701
brs,13.7785,18.92248,-107.26097674128557,-84.31526858471743,1049240368
brs,12.16145,17.42283,-140.17050495780984,-112.47506984868026,1049257035
brs,10.0414,15.62085,-174.35242473815467,-143.03398425149794,1049273702
brs,7.32605,13.45085,-206.94841341841212,-173.74369141117634,1049290369
brs,3.983824,10.76283,-234.7887417250422,-201.8509598968848,1049307036
brs,0.016015,7.416151,-254.7746860166464,-224.39955801278518,1049323703
brs,-4.42128,3.648701,-264.2812512871172,-238.60341618348195,1049340370
brs,-9.09588,-0.26385,-261.5180424445092,-242.23738239386452,1049357037
brs,-13.457,-4.0142,-245.79070714852134,-233.9831403072806,1049373704
brs,-17.6028,-7.53659,-217.62062698786934,-213.67008582143544,1049390371
brs,-21.1838,-11.1303,-178.70370108586457,-182.3647542613043,1049407038
brs,-23.8761,-14.8941,-131.71567743095602,-142.28590867312823,1049423705
brs,-25.5494,-17.8725,-79.99632976639788,-96.55158877427154,1049440372
brs,-26.1286,-19.2945,-27.1630627878535,-48.79378027713581,1049457039
brs,-25.5712,-18.8429,23.287039461542676,-2.7000868842849335,1049473706
brs,-23.6794,-16.7406,68.33022455671325,38.44497648969767,1049490373
brs,-21.6603,-14.7386,105.67984678342485,72.14649389907784,1049507040
brs,-20.2446,-13.1457,133.93528171772962,96.95429340001513,1049523707
brs,-18.4994,-12.1044,152.61118965161685,112.55165817504763,1049540374
brs,-16.4566,-11.4086,162.0610180399294,119.67247997923462,1049557041
brs,-14.487,-10.1598,163.3218348760861,119.87156061393432,1049573708
brs,-12.3227,-7.97226,157.91364352723758,115.19670328840847,1049590375
brs,-9.77359,-5.6191,147.625430033768,107.82490565385247,1049607042
brs,-6.96241,-3.93283,134.31406293095026,99.72627160103121,1049623709
brs,-3.94187,-2.68453,119.73339844602272,92.40870937827873,1049640376
brs,-1.48857,-1.26843,105.40218633792286,86.77694620301753,1049657043
brs,-0.10773,0.081083,92.51260265650147,83.1153430004951,1049673710
brs,0.794675,1.411879,81.87734355109,81.18048524041346,1049690377
brs,1.550643,2.590513,73.91195551926474,80.37108592423964,1049707044
brs,2.280991,3.729731,68.64938520472343,79.93248088572179,1049723711
brs,3.006858,5.222477,65.78423693619017,79.15210757205273,1049740378
brs,4.112766,6.935549,64.74380450202965,77.51001742855932,1049757045
brs,5.570062,8.449228,64.78111219217101,74.7622161276843,1049773712
brs,7.16485,9.601549,65.08225055474679,70.95101713804767,1049790379
brs,8.115356,10.45548,64.87714340999793,66.35202720582758,1049807046
brs,9.032507,11.14231,63.54072449864117,61.37884743148903,1049823713
brs,10.05241,11.9054,60.67136391885596,56.472217281439285,1049840380
brs,11.00305,12.59538,56.13577128689108,51.999713953305,1049857047
brs,11.92983,13.53074,50.0743122960352,48.18615963828821,1049873714
brs,12.72625,14.41076,42.86684260120476,45.085504527946384,1049890381
brs,13.25961,15.15838,35.06550209298982,42.59455000587712,1049907048
brs,13.55756,15.79038,27.306074937806073,40.49977994954926,1049923715
brs,13.80372,16.51767,20.212452746774684,38.542538446784185,1049940382
brs,13.97981,17.29676,14.308937704443276,36.4857167512351,1049957049
brs,14.23209,17.96934,9.952728324378931,34.16692337918558,1049973716
brs,14.65215,18.41836,7.294636067335661,31.527921457098973,1049990383
brs,14.87892,18.75504,6.270912637989911,28.616515737222993,1050007050
brs,14.90739,18.99851,6.6241031592913355,25.56349532648183,1050023717
brs,14.90346,19.30521,7.94695098099979,22.54232767372846,1050040384
brs,15.00292,19.72,9.741062563334438,19.722160233912014,1050057051
brs,15.14693,20.15901,11.481372669621008,17.225012102290442,1050073718
brs,15.36752,20.50602,12.678158388676971,15.09608845556578,1050090385
brs,15.60738,20.71991,12.929960781674186,13.292611778375937,1050107052
brs,15.82344,20.83424,11.962778694661182,11.692340502742448,1050123719
brs,15.96925,20.9409,9.652900785443139,10.118944121504299,1050140386
brs,16.11281,21.07582,6.032518154270675,8.378352941244826,1050157053
brs,16.19243,21.2136,1.278764356100179,6.298542820472591,1050173720
brs,16.21035,21.30877,-4.31187604698174,3.765075542622861,1050190387
brs,16.07422,21.36942,-10.360686914910236,0.74593781017725,1050207054
brs,15.82097,21.42167,-16.451221794316268,-2.698551348273172,1050223721
brs,15.54745,21.40267,-22.176210633186578,-6.422226886663837,1050240388
brs,15.26368,21.25792,-27.181459905514895,-10.214590393572447,1050257055
brs,14.83867,21.02499,-31.20150017780999,-13.833519232208845,1050273722
brs,14.21131,20.71357,-34.08264609997995,-17.043580697763407,1050290389
brs,13.379,20.3485,-35.79078794308585,-19.653516184324605,1050307056
brs,12.64273,20.02692,-36.4034424061878,-21.546627135579445,1050323723
brs,12.23831,19.75267,-36.08799263619708,-22.69893768608307,1050340390
brs,11.94128,19.44728,-35.070182758218344,-23.181971210065118,1050357057
brs,11.45699,19.10322,-33.59835241395836,-23.149488220654344,1050373724
