Unnamed: 0,Left_Hip_q,Right_Hip_q,Left_Hip_qd,Right_Hip_qd,SampleTimeFine
lift,-19.63576508,-21.88309288,-7.580182552,-5.605687141,2086605132
lift,-19.49407387,-21.79177094,-6.880892277,-6.22090435,2086621799
lift,-19.34298515,-21.66013527,-6.87267065,-8.826189995,2086638466
lift,-19.19913673,-21.45694542,-6.37732029,-12.76234245,2086655133
lift,-19.06461143,-21.2773571,-5.942108631,-11.10101032,2086671800
lift,-18.93574715,-21.12905693,-6.006666183,-9.507462502,2086688467
lift,-18.83105087,-20.97851372,-5.813354015,-9.415820122,2086705134
lift,-18.75767326,-20.86777115,-4.788448811,-6.72803545,2086721801
lift,-18.6990757,-20.78341484,-4.141624451,-5.034766197,2086738468
lift,-18.64190483,-20.66296768,-4.529427052,-6.547939301,2086755135
lift,-18.58297157,-20.53944206,-5.231254101,-5.973446846,2086771802
lift,-18.53267097,-20.49455261,-4.935990334,-1.15171349,2086788469
lift,-18.48744011,-20.47345734,-4.616536617,0.257849485,2086805136
lift,-18.445158,-20.4495697,-4.218783379,-0.105024882,2086821803
lift,-18.40658188,-20.42232132,-3.669263124,-0.623208165,2086838470
lift,-18.35572815,-20.37330818,-3.823950291,-1.936576366,2086855137
lift,-18.28999329,-20.31397247,-4.136450768,-2.605657101,2086871804
lift,-18.22772026,-20.24276352,-3.792946577,-3.366930485,2086888471
lift,-18.16536331,-20.1798439,-3.480893612,-2.893697739,2086905138
lift,-18.09650803,-20.11491203,-3.772776365,-2.999439478,2086921805
lift,-18.0114212,-20.02780342,-4.649358273,-4.356003284,2086938472
lift,-17.90533829,-19.93727112,-5.900065422,-4.746264458,2086955139
lift,-17.7911911,-19.81831741,-6.668934345,-6.28948164,2086971806
lift,-17.64718056,-19.67982864,-8.35163784,-7.248422146,2086988473
lift,-17.48062134,-19.55282784,-9.14617157,-6.370725632,2087005140
lift,-17.30829811,-19.409338,-9.724133492,-6.854268551,2087021807
lift,-17.12063789,-19.24454689,-11.35571671,-6.739384651,2087038474
lift,-16.91628456,-19.01338387,-12.68743801,-10.26869392,2087055141
lift,-16.6818428,-18.7960453,-14.4963932,-8.831421852,2087071808
lift,-16.44277573,-18.56131172,-15.21914196,-9.831855774,2087088475
lift,-16.18423843,-18.30937386,-17.30198669,-10.6828413,2087105142
lift,-15.89937973,-18.05137444,-18.73789597,-11.37527275,2087121809
lift,-15.63291359,-17.81073952,-17.98210907,-11.09855556,2087138476
lift,-15.39764023,-17.54579353,-16.47818756,-13.06779003,2087155143
lift,-15.15231419,-17.25366211,-16.68948174,-15.03308296,2087171810
lift,-14.88353062,-16.97199249,-17.13330078,-14.93092537,2087188477
lift,-14.6117506,-16.6821537,-16.10852242,-15.93950367,2087205144
lift,-14.35464478,-16.39326096,-14.34645939,-16.24079704,2087221811
lift,-14.12444115,-16.10621834,-11.86806488,-16.04646111,2087238478
lift,-13.90965271,-15.83543682,-10.97798252,-14.75707817,2087255145
lift,-13.70991707,-15.59645748,-9.753795624,-13.2100153,2087271812
lift,-13.51811695,-15.36810875,-9.174835205,-12.97428799,2087288479
lift,-13.35836124,-15.18326283,-7.052819252,-10.45049858,2087305146
lift,-13.22315216,-15.0417347,-5.623822212,-8.454051018,2087321813
lift,-13.11765003,-14.96966648,-3.748291731,-4.882781029,2087338480
lift,-13.04058075,-14.92747402,-2.751765251,-3.311172485,2087355147
lift,-12.99332047,-14.87891674,-1.499879837,-4.051045895,2087371814
lift,-12.97475529,-14.87300873,-0.270329297,-2.009034634,2087388481
lift,-12.97220325,-14.86685944,1.470803022,-2.063423157,2087405148
lift,-12.99046993,-14.87352943,3.296988726,-1.326801896,2087421815
lift,-12.99713802,-14.88605213,3.004440546,-0.706167698,2087438482
lift,-12.98823929,-14.93679619,2.490944624,2.217323303,2087455149
lift,-12.97148514,-15.0144825,2.516724586,4.266569614,2087471816
lift,-12.93617821,-15.10599136,1.533183455,5.109292984,2087488483
lift,-12.87258625,-15.20902443,0.013427467,5.511386395,2087505150
lift,-12.80870056,-15.29859638,0.55338186,4.693457603,2087521817
lift,-12.6923933,-15.33469009,-2.482807398,1.7069906,2087538484
lift,-12.52551365,-15.32914257,-6.201378345,-0.600694716,2087555151
lift,-12.37879848,-15.29982567,-6.947422028,-1.821204066,2087571818
lift,-12.23610878,-15.23654842,-7.722691059,-3.698973894,2087588485
lift,-12.09763718,-15.14525509,-8.082602501,-5.42224741,2087605152
lift,-11.98064423,-14.98632622,-7.383209229,-9.874378204,2087621819
lift,-11.84472275,-14.82867336,-8.708768845,-10.1599741,2087638486
lift,-11.70806313,-14.68371868,-8.792933464,-9.48238945,2087655153
lift,-11.59305382,-14.55796432,-7.30973959,-8.234909058,2087671820
lift,-11.49434662,-14.44227982,-6.299994946,-7.147828579,2087688487
lift,-11.45575237,-14.36196899,-3.066929102,-4.597032547,2087705154
lift,-11.46667957,-14.29206562,-0.349318773,-3.89548707,2087721821
lift,-11.51233673,-14.24411678,1.401994467,-2.685082197,2087738488
lift,-11.56097794,-14.25364494,1.457778811,0.492730707,2087755155
lift,-11.63053513,-14.29212189,2.336281538,2.033757448,2087771822
lift,-11.71560478,-14.35250759,2.987215757,3.344730139,2087788489
lift,-11.81547642,-14.46491528,3.458911896,6.218886852,2087805156
lift,-11.91737366,-14.57436848,3.267546654,5.898214817,2087821823
lift,-12.00645828,-14.69839859,2.537213564,6.761786461,2087838490
lift,-12.09427357,-14.80459881,2.143290281,5.563341618,2087855157
lift,-12.1777792,-14.8834095,1.835630655,3.904124975,2087871824
lift,-12.21893597,-14.96721268,-0.05306951,4.377229691,2087888491
lift,-12.24777508,-15.0426445,-0.279088765,4.055406094,2087905158
lift,-12.30808067,-15.13353252,1.353458405,5.171108723,2087921825
lift,-12.40437317,-15.19944191,2.795824766,3.67262435,2087938492
lift,-12.52671528,-15.23492336,3.760822058,1.709628582,2087955159
lift,-12.69129562,-15.30204201,5.535399914,2.985999584,2087971826
lift,-12.89825821,-15.41143608,7.830426693,4.710772038,2087988493
lift,-13.14391518,-15.56136227,10.14215565,6.550058842,2088005160
lift,-13.44444084,-15.72178936,12.88611603,6.375265598,2088021827
lift,-13.82178402,-15.89894199,16.63077736,7.749771118,2088038494
lift,-14.25810146,-16.10851288,19.19861412,9.369534492,2088055161
lift,-14.77685642,-16.40623665,23.30753326,13.3739481,2088071828
lift,-15.37809467,-16.75124741,27.87598038,15.99950504,2088088495
lift,-16.07290077,-17.13218689,32.33785629,18.9525032,2088105162
lift,-16.84044838,-17.65970612,35.56946182,27.88722038,2088121829
lift,-17.65086555,-18.35331345,36.76840973,37.33582687,2088138496
lift,-18.49143219,-18.98245621,38.02453995,33.33740616,2088155163
lift,-19.3954792,-19.62771034,40.34664154,34.53632355,2088171830
lift,-20.37546539,-20.34050179,43.18701172,38.69090652,2088188497
lift,-21.43830681,-21.1789856,47.49742126,46.03269958,2088205164
lift,-22.57232094,-22.10951805,51.30533218,51.52943039,2088221831
lift,-23.75447845,-23.14816284,53.76714325,57.39110947,2088238498
lift,-24.9811039,-24.30797577,55.95631027,64.30059052,2088255165
lift,-26.24839401,-25.48649406,58.26181412,65.49106598,2088271832
lift,-27.49822998,-26.76992607,58.91556549,72.11829376,2088288499
lift,-28.68620682,-28.04801178,57.20249176,72.56004333,2088305166
