Label,Left_Hip_q,Right_Hip_q,Left_Hip_qd,Right_Hip_qd,SampleTimeFine
lift,-41.73958206,-34.94778824,-106.609169,-123.6206894,1181888061
lift,-39.26049805,-32.66402435,-126.1327744,-127.0968552,1181904728
lift,-36.60138702,-30.40210152,-139.788208,-126.2125397,1181921395
lift,-33.97940063,-28.02986145,-134.7456818,-132.9221191,1181938062
lift,-31.44126701,-25.60768318,-125.4091873,-135.9074402,1181954729
lift,-29.0951004,-23.06073761,-111.6884232,-143.7608337,1181971396
lift,-26.909729,-20.46710587,-101.7423859,-147.4155273,1181988063
lift,-24.73259354,-18.15656471,-100.1318665,-127.9410858,1182004730
lift,-22.408041,-15.95618916,-104.3435593,-121.8077774,1182021397
lift,-19.89590454,-13.72506428,-112.2849731,-123.9287186,1182038064
lift,-17.22852135,-11.44827175,-120.5897217,-125.2162857,1182054731
lift,-14.56406689,-9.028752327,-112.1348648,-128.5910797,1182071398
lift,-11.86975861,-6.428294659,-108.5985031,-131.1732178,1182088065
lift,-9.155656815,-3.664212227,-106.2625504,-133.0866089,1182104732
lift,-6.447663784,-0.90137279,-106.2313538,-124.2727127,1182121399
lift,-3.911393166,1.766629934,-92.03131866,-113.3886337,1182138066
lift,-1.772431493,4.017264366,-67.88119507,-90.16234589,1182154733
lift,-0.167589188,5.763253689,-48.88054657,-72.33204651,1182171400
lift,0.694836795,6.497804642,-24.83803749,-21.72888565,1182188067
lift,0.684353411,6.199338436,3.982862234,23.51094627,1182204734
lift,-0.297645628,4.979956627,38.52799606,62.65350342,1182221401
lift,-2.073877811,2.956153393,64.04384613,98.68967438,1182238068
lift,-4.413816452,0.332656831,84.72431946,124.2465134,1182254735
lift,-7.154802322,-2.821408749,101.269928,151.3482513,1182271402
lift,-10.09108639,-6.21571207,107.8519592,162.7215576,1182288069
lift,-13.04633141,-9.554493904,111.7324142,158.8658752,1182304736
lift,-15.91817951,-12.67673302,116.148941,149.4207764,1182321403
lift,-18.71571922,-15.5495882,122.2394485,142.0055084,1182338070
lift,-21.44172668,-18.26200676,122.7845535,138.4934235,1182354737
lift,-24.03818321,-20.88779831,118.5820313,135.5566254,1182371404
lift,-26.52868843,-23.43033981,115.2136688,132.6420288,1182388071
lift,-28.97126198,-25.92524338,114.9940109,131.618866,1182404738
lift,-31.39922714,-28.27430344,114.4458694,122.6563339,1182421405
lift,-33.79266357,-30.51355553,112.5300064,115.131897,1182438072
lift,-36.19790649,-32.84652328,114.4049149,122.8286896,1182454739
lift,-38.56406021,-35.18992233,114.2352219,122.5345383,1182471406
lift,-40.98731613,-37.49874115,121.937767,119.0200119,1182488073
lift,-43.43143845,-39.79308319,126.4632874,118.0293884,1182504740
lift,-45.87423706,-42.12944412,127.6522751,122.2922134,1182521407
lift,-48.31974411,-44.50307465,126.291153,125.3293533,1182538074
lift,-50.78167343,-46.977005,125.1779022,132.3175507,1182554741
lift,-53.28520966,-49.56331635,127.3322525,139.3918762,1182571408
lift,-55.81788254,-52.25500488,128.8430939,144.9772186,1182588075
lift,-58.39725113,-54.96143341,130.034256,143.8600006,1182604742
lift,-61.03138733,-57.75905228,133.098938,148.9922485,1182621409
lift,-63.68735504,-60.59791183,135.2614288,153.0847931,1182638076
lift,-66.40342712,-63.40893555,139.3938293,152.4204254,1182654743
lift,-69.0565033,-66.17228699,133.4994812,150.4378662,1182671410
lift,-71.57352448,-68.79216003,122.743103,141.360611,1182688077
lift,-73.99914551,-71.29653168,118.034729,132.8793793,1182704744
lift,-76.43134308,-73.70437622,122.5219269,125.5470352,1182721411
lift,-78.74771881,-75.94271088,120.6371536,114.2526093,1182738078
lift,-80.84474945,-78.23871613,110.2384033,120.2541733,1182754745
lift,-82.74087524,-80.3282547,101.4348297,113.1146393,1182771412
lift,-84.42964935,-82.33005524,88.56642151,116.51474,1182788079
lift,-85.99298096,-84.08540344,83.02802277,109.3601913,1182804746
lift,-87.41313171,-85.6595459,81.99668121,104.315239,1182821413
lift,-88.37876129,-87.04137421,75.88591003,101.9297791,1182838080
lift,-88.2551651,-87.89522552,67.35046387,84.27066803,1182854747
lift,-87.539711,-88.08082581,56.94365692,64.70075226,1182871414
lift,-86.79973602,-87.94262695,47.38605118,17.6232338,1182888081
lift,-86.46548462,-87.76682281,19.9877224,-36.06908035,1182904748
lift,-86.49446106,-87.38700867,-2.889312029,-20.14374352,1182921415
lift,-86.58786011,-87.3297348,-6.749364853,10.11162472,1182938082
lift,-86.8529129,-87.63230896,-16.88006401,6.641247749,1182954749
lift,-87.14008331,-88.02335358,-18.91317558,9.643161774,1182971416
lift,-87.27581024,-88.17887878,-9.436760902,22.92449951,1182988083
lift,-87.16316986,-87.91287231,5.645174026,34.91405869,1183004750
lift,-86.93094635,-87.51329041,11.54249287,29.85025978,1183021417
lift,-86.81752777,-87.43608856,5.249662399,7.059060574,1183038084
lift,-86.94687653,-87.81484222,-8.202748299,-20.85070038,1183054751
lift,-87.13570404,-88.28616333,-12.09691048,-27.15625954,1183071418
lift,-87.23954773,-88.6414566,-7.491821289,-21.40625381,1183088085
lift,-87.23820496,-88.70578003,-1.189940691,-3.899819851,1183104752
lift,-87.17881012,-88.48587036,2.30031395,13.36507225,1183121419
lift,-87.12731171,-88.28400421,1.505590439,9.093317986,1183138086
lift,-87.22019196,-88.27774048,-7.410702229,-3.695631027,1183154753
lift,-87.42975616,-88.41637421,-14.49614239,-12.63994122,1183171420
lift,-87.6817627,-88.61139679,-16.84023285,-16.72043228,1183188087
lift,-87.85597992,-88.76806641,-12.66157436,-15.45674896,1183204754
lift,-87.90688324,-88.8298111,-6.148808002,-7.912430286,1183221421
lift,-87.90155792,-88.82797241,-3.507022858,-2.843278646,1183238088
lift,-87.90875244,-88.80516052,-4.377445698,-1.73651576,1183254755
lift,-88.01357269,-88.76141357,-10.58442783,-10.41695213,1183271422
lift,-88.19973755,-88.65157318,-16.04860115,-24.4500618,1183288089
lift,-88.51075745,-88.34661102,-26.11825562,-36.46158981,1183304756
lift,-88.82447052,-87.80938721,-38.36629486,-44.30363083,1183321423
lift,-88.75212097,-87.07470703,-43.27890778,-52.12788391,1183338090
lift,-88.27671814,-86.2501297,-42.3938179,-54.71475983,1183354757
lift,-87.58548737,-85.35506439,-45.62566376,-56.99147415,1183371424
lift,-86.63623047,-84.3079071,-56.6690712,-64.45011139,1183388091
lift,-85.47048187,-83.22566986,-66.77463531,-64.02415466,1183404758
lift,-84.1137085,-82.08361816,-74.88304901,-65.08383942,1183421425
lift,-82.56354523,-80.80348206,-81.89318848,-70.5474472,1183438092
lift,-80.80018616,-79.16469574,-90.58815002,-90.139534,1183454759
lift,-78.981987,-77.22118378,-89.19194794,-105.8271408,1183471426
lift,-77.08812714,-75.15606689,-90.03449249,-113.249733,1183488093
lift,-75.08079529,-73.0149231,-92.96971893,-118.0816498,1183504760
lift,-72.92653656,-70.75556183,-101.1585922,-123.3194885,1183521427
lift,-70.64266968,-68.26604462,-116.6538849,-135.9987793,1183538094
lift,-68.41262054,-65.66139221,-120.0196228,-139.9668274,1183554761
