label,Left_Hip_q,Right_Hip_q,Left_Hip_qd,Right_Hip_qd,SampleTimeFine
fw,-59.3914718627929,-74.3709411621093,-97.0242309570312,116.350563049316,2833728646
fw,-57.6329307556152,-76.1702270507812,-109.48055249677347,111.78436740656913,2833745313
fw,-55.9210090637207,-77.9861221313476,-87.47529744785552,114.21373412776434,2833761980
fw,-54.6337776184082,-79.9235458374023,-65.12788827446458,115.14733361940748,2833778647
fw,-53.8371772766113,-81.7991027832031,-42.403223270384416,113.75018197927515,2833795314
fw,-53.5862655639648,-83.3683090209961,-19.91791654773966,109.68676170687692,2833811981
fw,-53.7984008789062,-84.6376876831054,1.1065620079507785,103.19488761708209,2833828648
fw,-55.0975761413574,-85.5401229858398,19.160481794790883,95.02044341636764,2833845315
fw,-56.5560073852539,-85.8871002197265,32.897672224615214,86.21682660484932,2833861982
fw,-57.9344978332519,-85.7919692993164,41.53712233907001,77.84409962028872,2833878649
fw,-59.1970252990722,-85.4157638549804,45.0634653545635,70.63144251532697,2833895316
fw,-60.2974624633789,-84.8071823120117,44.17668844007657,64.68719551178722,2833911983
fw,-61.3170127868652,-84.0542602539062,40.04957420915903,59.34211556859063,2833928650
fw,-61.9893836975097,-83.3044357299804,34.01135914628016,53.18632495210036,2833945317
fw,-62.3917770385742,-82.5821456909179,27.27666831819098,44.31544633546308,2833961984
fw,-62.7532157897949,-81.8890686035156,20.79992570390948,30.74998871988758,2833978651
fw,-63.3703727722168,-81.4150390625,15.276157964230288,10.943976565358852,2833995318
fw,-64.4422836303711,-81.3993835449218,11.242631425452908,-15.736904834805765,2834011985
fw,-65.2530670166015,-81.8634414672851,9.184962084372813,-48.696978466911055,2834028652
fw,-65.2485961914062,-82.9538040161132,9.54967513589207,-86.0535377645728,2834045319
fw,-65.1193466186523,-84.8221435546875,12.629043932960002,-124.8798621775546,2834061986
fw,-65.2146377563476,-86.6288452148437,18.3812067813257,-161.706500387841,2834078653
fw,-65.6606750488281,-85.8698120117187,26.308881130704368,-193.16479331402348,2834095320
fw,-66.6667022705078,-82.6262130737304,35.495049510948604,-216.61301737591444,2834111987
fw,-67.8445434570312,-78.5728149414062,44.80390704066544,-230.58945677744921,2834128654
fw,-69.1148452758789,-74.6266174316406,53.16721600441196,-234.9891791732888,2834145321
fw,-70.4427947998046,-71.0071868896484,59.84241469305289,-230.94416350956652,2834161988
fw,-71.7553253173828,-67.4593658447265,64.5541258280802,-220.4674631403598,2834178655
fw,-73.0798187255859,-63.9496002197265,67.48756996648484,-205.96903625783568,2834195322
fw,-74.4475860595703,-60.880126953125,69.15934283370915,-189.75149510079729,2834211989
