Label,Left_Hip_q,Right_Hip_q,Left_Hip_qd,Right_Hip_qd,SampleTimeFine
fw,-68.0993118286132,-83.6694641113281,37.8102912902832,95.6503601074218,2236106187
fw,-68.9704208374023,-81.7741165161132,56.4043464660644,108.224716186523,2236122854
fw,-69.5358047485351,-79.78125,27.3953075408935,112.994140625,2236139521
fw,-70.1579360961914,-78.0307006835937,22.3811912536621,99.44580078125,2236156188
fw,-71.0293731689453,-76.6832275390625,42.0778045654296,78.2150268554687,2236172855
fw,-71.7028350830078,-75.766487121582,40.3636474609375,54.0298347473144,2236189522
fw,-71.9564590454101,-75.2358169555664,17.120864868164,31.2745552062988,2236206189
fw,-72.0736770629882,-75.0013961791992,-0.901044011116027,14.0817127227783,2236222856
fw,-72.6762084960937,-75.053482055664,32.6689453125,-2.95938491821289,2236239523
fw,-73.4333419799804,-75.368423461914,40.9283142089843,-19.6668968200683,2236256190
fw,-74.2214279174804,-76.1538467407226,40.8561553955078,-48.160587310791,2236272857
fw,-75.2082443237304,-77.6221771240234,57.933479309082,-85.74853515625,2236289524
fw,-75.7006225585937,-79.2942504882812,25.6024436950683,-93.3269424438476,2236306191
fw,-76.6073913574218,-81.3628921508789,49.0975646972656,-116.275909423828,2236322858
fw,-77.9677276611328,-83.6797866821289,69.2204208374023,-139.757827758789,2236339525
fw,-79.5166778564453,-85.4752044677734,75.3781585693359,-143.249938964843,2236356192
fw,-81.128677368164,-85.9256210327148,81.6277923583984,-148.326995849609,2236372859
fw,-82.7469940185546,-84.875015258789,86.7675399780273,-162.073638916015,2236389526
fw,-84.3920593261718,-82.9566955566406,90.7074127197265,-172.40657043457,2236406193
fw,-86.135383605957,-80.5804061889648,95.6225891113281,-178.935714721679,2236422860
fw,-87.951301574707,-78.0335006713867,92.3823089599609,-176.637908935546,2236439527
fw,-90.0,-75.3440628051757,89.2581024169921,-175.91780090332,2236456194
fw,-88.6234283447265,-72.5986938476562,82.2296295166015,-166.039123535156,2236472861
fw,-86.9938507080078,-69.9069213867187,75.585693359375,-151.988906860351,2236489528
fw,-85.5304718017578,-67.5374145507812,71.1844406127929,-127.022521972656,2236506195
fw,-84.0966491699218,-65.6506195068359,78.3364181518554,-99.4769744873046,2236522862
fw,-82.5658111572265,-64.2057800292968,92.7472610473632,-74.4705810546875,2236539529
fw,-80.8908615112304,-63.0237426757812,103.823425292968,-59.1917190551757,2236556196
fw,-79.1189575195312,-61.9355888366699,108.76651763916,-55.3389320373535,2236572863
fw,-77.3246841430664,-60.9271049499511,109.205993652343,-53.3872337341308,2236589530
fw,-75.5541305541992,-60.215705871582,107.306381225585,-41.9752197265625,2236606197
fw,-73.8665390014648,-60.1085014343261,101.802963256835,-8.45558834075927,2236622864
fw,-72.1036148071289,-60.4919662475585,105.724090576171,18.373155593872,2236639531
fw,-70.1744613647461,-61.2760124206543,115.098114013671,41.167911529541,2236656198
fw,-68.150650024414,-62.2657318115234,120.303115844726,58.1964988708496,2236672865
fw,-66.4796905517578,-62.9865913391113,99.1972579956054,23.1155052185058,2236689532
