Label,Left_Hip_q,Right_Hip_q,Left_Hip_qd,Right_Hip_qd,SampleTimeFine
run,-67.9375534057617,-83.7969818115234,13.5469532012939,130.193283081054,2867035472
run,-68.9592514038086,-81.391616821289,64.15953039778951,138.51396807600705,2867052139
run,-70.185676574707,-79.0951766967773,48.341542341575995,119.04311481480035,2867068806
run,-70.8125686645507,-77.3702239990234,33.59445498087301,99.27274124563414,2867085473
run,-71.2456741333007,-76.099006652832,20.912309804651567,78.95461819757963,2867102140
run,-72.0639419555664,-75.1678619384765,11.207233507056065,57.87253484001111,2867118807
run,-72.220703125,-74.60107421875,5.210209243402122,35.86241526366242,2867135474
run,-71.5924453735351,-74.3365936279296,3.3416948400483917,12.851264014129715,2867152141
run,-71.3778076171875,-74.374267578125,5.598136913727152,-11.09454119112832,2867168808
run,-71.6224746704101,-74.845458984375,11.518106800352767,-35.732857409965966,2867185475
run,-72.047134399414,-75.9916076660156,20.273916659227584,-60.640673465833004,2867202142
run,-73.6286926269531,-77.5479507446289,30.87089492783123,-85.24390299730084,2867218809
run,-74.3600616455078,-79.4871749877929,42.36714368970462,-108.86758124671142,2867235476
run,-74.8373107910156,-81.8622131347656,54.01112453517377,-130.78574712064,2867252143
run,-75.8523025512695,-83.8393859863281,65.25120753377634,-150.2596248372828,2867268810
run,-77.2271728515625,-85.140625,75.65507305344521,-166.5687631940419,2867285477
run,-79.1061553955078,-85.3425903320312,84.8209272771166,-179.0505022000141,2867302144
run,-81.0152893066406,-84.1259078979492,92.34515536276211,-187.1604053801302,2867318811
run,-82.7463455200195,-81.688232421875,97.86602909244091,-190.54969753411925,2867335478
run,-84.5111694335937,-78.7780685424804,101.16865556418838,-189.13542393465863,2867352145
run,-86.5320816040039,-75.7220840454101,102.31811033489383,-183.1298409794193,2867368812
run,-88.7987823486328,-72.7748184204101,101.77201941556547,-173.00515185673245,2867385479
run,-89.2834548950195,-70.0054168701171,100.4095334722588,-159.39481962835526,2867402146
run,-86.9684906005859,-67.4511795043945,99.42050886095633,-142.96321490340466,2867418813
run,-85.1035537719726,-65.2306747436523,100.04415249873148,-124.29785028851708,2867435480
run,-83.5175323486328,-63.399600982666,103.21823786318129,-103.8798129685989,2867452147
run,-81.8285293579101,-61.9029731750488,109.25779057645565,-82.16192961165372,2867468814
run,-79.9192504882812,-60.5864639282226,117.68613763933999,-59.73575729918624,2867485481
run,-77.7436141967773,-59.3880386352539,127.28397401935655,-37.51388566136094,2867502148
run,-75.3285217285156,-58.5536956787109,136.33595593117568,-16.81820938324928,2867518815
run,-72.8442611694336,-58.4393310546875,142.98652145899183,0.7246248372580295,2867535482
run,-70.4205169677734,-58.9261131286621,145.59509595178073,13.50842685597079,2867552149
run,-68.1003036499023,-60.0568161010742,143.00170223492717,20.41039118318078,2867568816
run,-65.6551971435546,-60.5628318786621,134.65431800980357,21.217010137730856,2867585483
run,-63.2864837646484,-60.9948539733886,120.5878241402833,16.828939721773377,2867602150
run,-61.7066421508789,-61.6628799438476,101.27647243996654,9.147179558260612,2867618817
run,-61.0464744567871,-61.8761177062988,77.41679440196705,0.6684441476220858,2867635484
run,-60.8034934997558,-61.1990165710449,49.73412265424952,-6.089465624412222,2867652151
run,-60.379768371582,-60.5152587890625,18.91215366294603,-9.1721728921821,2867668818
run,-59.919319152832,-60.1719436645507,-14.31307914510769,-7.620560387764806,2867685485
run,-60.2121887207031,-60.2149429321289,-48.96003787753356,-1.6210314475213312,2867702152
run,-61.3456192016601,-61.5520057678222,-83.65611039677756,7.67185605486978,2867718819
run,-63.3008422851562,-62.8442077636718,-116.67491877369184,18.570903701282447,2867735486
run,-66.1424026489257,-63.479923248291,-146.18962004826324,29.38721251756492,2867752153
run,-69.5067291259765,-64.2848129272461,-170.65073275261622,38.87635662583105,2867768820
run,-72.5361862182617,-65.2723312377929,-189.12682519725192,46.48165631273927,2867785487
run,-75.5776672363281,-66.8303451538086,-201.46696019965435,52.347906180718645,2867802154
run,-78.8551406860351,-68.6031036376953,-208.23450012009548,57.1471902332344,2867818821
run,-82.3020629882812,-70.1954269409179,-210.4612320995156,61.791946505501016,2867835488
run,-85.7075119018554,-71.7909927368164,-209.3225188640091,67.12451824033616,2867852155
run,-88.7633056640625,-73.5129013061523,-205.82852652284214,73.67234653539136,2867868822
run,-87.3004913330078,-75.3808364868164,-200.5939734836825,81.53318492460461,2867885489
run,-84.3805770874023,-77.4590606689453,-193.72063460369958,90.40334798212969,2867902156
run,-81.3626403808593,-79.7088012695312,-184.810626191963,99.70658641567181,2867918823
run,-78.3809127807617,-81.9340896606445,-173.11367951563713,108.75275166570121,2867935490
run,-75.6704025268554,-84.0359954833984,-157.7882813893507,116.86641916791258,2867952157
run,-73.3305206298828,-86.1671295166015,-138.22821072169526,123.46203665412463,2867968824
run,-71.422492980957,-88.3879623413086,-114.3845748417223,128.07645659976868,2867985491
run,-69.7581710815429,-89.2883834838867,-87.00462027996768,130.38092754627277,2868002158
run,-68.2466354370117,-87.0225753784179,-57.70936903317366,130.1827580108267,2868018825
run,-67.1990661621093,-84.8743209838867,-28.84535410451225,127.4104298345529,2868035492
run,-67.1762313842773,-82.875503540039,-3.088304614385749,122.07348524945445,2868052159
run,-68.22412109375,-80.9842834472656,17.139181543233107,114.20247317832046,2868068826
run,-69.4579010009765,-79.2277526855468,30.273254272759896,103.79157091495689,2868085493
run,-69.9746932983398,-77.6296234130859,36.024172617862696,90.77212127697243,2868102160
run,-70.2217025756836,-76.2829208374023,35.443375622168574,75.03433415990229,2868118827
run,-71.1075363159179,-75.2893905639648,30.626775483705874,56.49383684903217,2868135494
run,-71.4709930419921,-74.7073822021484,24.1766542733933,35.181497741736194,2868152161
run,-71.2609329223632,-74.4714279174804,18.601961154881547,11.32708451027466,2868168828
run,-71.0867309570312,-74.602798461914,15.81924277093727,-14.589693563753753,2868185495
run,-71.5872802734375,-75.2105255126953,16.867303982426066,-41.8373760854051,2868202162
run,-72.0746994018554,-76.5490417480468,21.881164607154375,-69.48295388616465,2868218829
run,-73.3223266601562,-78.2239151000976,30.28413057344839,-96.48100249515167,2868235496
run,-74.1337890625,-80.3415451049804,41.0832896814044,-121.77665628136593,2868252163
run,-74.5470962524414,-82.8074264526367,53.1411763943034,-144.39657328507903,2868268830
run,-75.5501174926757,-84.592529296875,65.35275255620373,-163.51301455373635,2868285497
run,-77.0050048828125,-85.3776397705078,76.73640185998889,-178.48152206775896,2868302164
run,-78.9952392578125,-84.6508255004882,86.49147888711168,-188.86312692476105,2868318831
run,-80.8940734863281,-82.5474166870117,94.0632802915415,-194.4405039078193,2868335498
run,-82.693977355957,-79.775032043457,99.21786205394729,-195.2251815776825,2868352165
