label,Left_Hip_q,Right_Hip_q,Left_Hip_qd,Right_Hip_qd,SampleTimeFine
fw,-59.3914718627929,-74.3709411621093,-97.0242309570312,116.350563049316,2833728646
fw,-57.6329307556152,-76.1702270507812,-109.679992675781,110.758392333984,2833745313
fw,-55.9210090637207,-77.9861221313476,-115.740409851074,112.419029235839,2833761980
fw,-54.6337776184082,-79.9235458374023,-93.5033340454101,121.9038772583,2833778647
fw,-53.8371772766113,-81.7991027832031,-62.664321899414,122.188575744628,2833795314
fw,-53.5862655639648,-83.3683090209961,-29.7484760284423,111.795578002929,2833811981
fw,-53.7984008789062,-84.6376876831054,-9.98208808898925,105.419464111328,2833828648
fw,-55.0975761413574,-85.5401229858398,65.9257278442382,102.718627929687,2833845315
fw,-56.5560073852539,-85.8871002197265,62.55855178833,92.1864776611328,2833861982
fw,-57.9344978332519,-85.7919692993164,42.4011878967285,68.6796035766601,2833878649
fw,-59.1970252990722,-85.4157638549804,38.4500160217285,59.5857238769531,2833895316
fw,-60.2974624633789,-84.8071823120117,34.8484535217285,57.3609657287597,2833911983
fw,-61.3170127868652,-84.0542602539062,36.4627075195312,54.1441040039062,2833928650
fw,-61.9893836975097,-83.3044357299804,19.1089153289794,43.874641418457,2833945317
fw,-62.3917770385742,-82.5821456909179,11.9323043823242,37.1662902832031,2833961984
fw,-62.7532157897949,-81.8890686035156,14.3134069442749,36.7804374694824,2833978651
fw,-63.3703727722168,-81.4150390625,22.4119052886962,25.9490623474121,2833995318
fw,-64.4422836303711,-81.3993835449218,50.498477935791,-2.96837639808654,2834011985
fw,-65.2530670166015,-81.8634414672851,37.0902595520019,-33.0257759094238,2834028652
fw,-65.2485961914062,-82.9538040161132,-6.42281436920166,-73.1796264648437,2834045319
fw,-65.1193466186523,-84.8221435546875,-20.0162601470947,-129.558181762695,2834061986
fw,-65.2146377563476,-86.6288452148437,-7.31548357009887,-167.49429321289,2834078653
fw,-65.6606750488281,-85.8698120117187,26.2741928100585,-216.039764404296,2834095320
fw,-66.6667022705078,-82.6262130737304,50.2432136535644,-231.391342163085,2834111987
fw,-67.8445434570312,-78.5728149414062,53.6635093688964,-244.988037109375,2834128654
fw,-69.1148452758789,-74.6266174316406,65.6974182128906,-230.975997924804,2834145321
fw,-70.4427947998046,-71.0071868896484,69.055435180664,-213.504455566406,2834161988
fw,-71.7553253173828,-67.4593658447265,62.149559020996,-213.587005615234,2834178655
fw,-73.0798187255859,-63.9496002197265,60.0610427856445,-213.972274780273,2834195322
fw,-74.4475860595703,-60.880126953125,63.133934020996,-190.335083007812,2834211989
fw,-75.8293991088867,-57.8437118530273,66.3730850219726,-188.682357788085,2834228656
fw,-77.2622375488281,-55.584487915039,71.201919555664,-139.39045715332,2834245323
fw,-78.7355270385742,-53.7922935485839,74.5544281005859,-109.037704467773,2834261990
fw,-80.2214965820312,-52.0972785949707,75.5927429199218,-105.668823242187,2834278657
fw,-81.6987533569336,-50.1575965881347,75.33349609375,-124.341697692871,2834295324
fw,-83.1858901977539,-48.3616943359375,77.2986679077148,-117.225524902343,2834311991
fw,-84.7367248535156,-46.9594688415527,82.1148147583007,-92.5567855834961,2834328658
fw,-86.3450012207031,-46.259220123291,86.6171798706054,-49.158332824707,2834345325
fw,-87.9587707519531,-46.2140769958496,87.7940902709961,-8.9814224243164,2834361992
fw,-89.4387283325195,-46.7620697021484,86.9610214233398,27.4904098510742,2834378659
fw,-88.8051605224609,-47.9717369079589,81.1605606079101,69.3672332763671,2834395326
fw,-87.4795913696289,-49.7580986022949,72.2858047485351,106.273521423339,2834411993
fw,-86.3007507324218,-51.5920867919921,60.882225036621,107.890922546386,2834428660
fw,-85.2421875,-54.1488990783691,51.9317436218261,151.442993164062,2834445327
fw,-84.2991714477539,-56.3892936706543,44.4579849243164,131.241104125976,2834461994
fw,-83.4170913696289,-57.5792045593261,39.8913917541503,63.242202758789,2834478661
fw,-82.6590423583984,-58.1913223266601,31.0734195709228,28.9850387573242,2834495328
fw,-82.2632751464843,-58.529312133789,9.49771881103515,12.5774412155151,2834511995
fw,-82.2787170410156,-58.9553604125976,-9.06252479553222,13.8091745376586,2834528662
fw,-82.6901397705078,-59.0929679870605,-22.3731136322021,0.392713993787765,2834545329
fw,-83.4417495727539,-58.9072608947753,-31.1718196868896,-17.3442096710205,2834561996
fw,-84.6170120239257,-59.3948059082031,-51.2672271728515,30.9653873443603,2834578663
fw,-86.547981262207,-59.3910484313964,-96.1940231323242,2.66692781448364,2834595330
fw,-88.5327377319336,-58.3211708068847,-118.679016113281,-69.9404907226562,2834611997
fw,-87.0687561035156,-57.5643005371093,-125.356529235839,-47.4700126647949,2834628664
fw,-83.9151458740234,-57.5422477722168,-128.538253784179,-2.74610805511474,2834645331
fw,-80.7592010498046,-58.0392036437988,-130.964691162109,21.5371799468994,2834661998
fw,-77.6709442138671,-58.7488670349121,-149.38459777832,34.9966049194335,2834678665
fw,-74.9197616577148,-59.4283561706543,-161.610870361328,35.1760559082031,2834695332
fw,-72.0195007324218,-60.4121704101562,-194.894866943359,55.3777770996093,2834711999
fw,-68.907958984375,-61.5840377807617,-207.128036499023,66.9473571777343,2834728666
fw,-65.8813247680664,-62.8898773193359,-189.531158447265,75.6391143798828,2834745333
fw,-63.2135314941406,-64.1734085083007,-155.782455444335,74.5708618164062,2834762000
fw,-60.7972717285156,-65.5668487548828,-136.777755737304,79.4503860473632,2834778667
fw,-58.6422615051269,-67.2472763061523,-125.92333984375,95.0205764770507,2834795334
fw,-56.7160491943359,-69.1196136474609,-115.191345214843,106.379707336425,2834812001
fw,-55.1994552612304,-71.0506973266601,-91.4422454833984,111.140144348144,2834828668
fw,-53.9716911315918,-72.9078292846679,-77.7545776367187,108.557090759277,2834845335
fw,-53.0379333496093,-74.7295684814453,-64.8445739746093,108.284965515136,2834862002
fw,-52.5683479309082,-76.6635360717773,-39.4214935302734,115.974372863769,2834878669
fw,-52.4197540283203,-78.7080764770507,-21.8889122009277,123.466247558593,2834895336
fw,-52.7345504760742,-80.7615661621093,6.66456413269043,125.222793579101,2834912003
fw,-53.5894584655761,-82.5898208618164,36.888988494873,114.019012451171,2834928670
fw,-54.6086540222168,-84.1664581298828,39.0387229919433,102.744857788085,2834945337
fw,-55.8775405883789,-85.5743331909179,47.7262420654296,100.609138488769,2834962004
fw,-57.3485031127929,-86.7839965820312,60.6150817871093,111.048965454101,2834978671
fw,-58.664207458496,-87.1432952880859,45.1371841430664,116.826370239257,2834995338
fw,-59.4862365722656,-86.3135299682617,17.6947059631347,113.347801208496,2835012005
fw,-60.3164672851562,-84.9588470458984,36.5732269287109,104.35447692871,2835028672
fw,-60.8784141540527,-83.5326766967773,22.9622268676757,95.7886886596679,2835045339
fw,-61.3636894226074,-82.2306518554687,16.6157474517822,84.6383819580078,2835062006
fw,-61.837547302246,-81.2760696411132,7.47065877914428,58.9249153137207,2835078673
fw,-62.5323638916015,-80.8592453002929,15.2626504898071,20.3486804962158,2835095340
fw,-63.6390571594238,-80.957778930664,44.881664276123,-13.2765064239501,2835112007
fw,-64.5658645629882,-81.543212890625,41.0949096679687,-40.0890579223632,2835128674
fw,-64.6869430541992,-82.5586395263671,0.390280574560165,-59.9703330993652,2835145341
fw,-64.6902847290039,-84.2402038574218,-4.00265502929687,-93.2818222045898,2835162008
fw,-64.9398651123046,-86.5823593139648,3.44066905975341,-128.278274536132,2835178675
fw,-65.3605651855468,-89.4012756347656,13.4694299697875,-157.11050415039,2835195342
fw,-66.018196105957,-86.9922180175781,26.1142749786376,-201.733505249023,2835212009
fw,-66.9294128417968,-83.02880859375,40.3121261596679,-225.564086914062,2835228676
fw,-68.0195083618164,-79.1176528930664,55.5024147033691,-220.757247924804,2835245343
fw,-69.2147216796875,-75.481704711914,61.3356590270996,-205.072708129882,2835262010
fw,-70.500862121582,-72.2334976196289,63.1431655883789,-195.977355957031,2835278677
fw,-71.8221130371093,-68.935432434082,58.487060546875,-210.45962524414,2835295344
fw,-73.23193359375,-66.0930709838867,57.9014472961425,-184.857650756835,2835312011
fw,-74.7375183105468,-63.5585021972656,63.9401969909668,-164.991592407226,2835328678
fw,-76.3229904174804,-60.6961097717285,71.8698654174804,-183.279159545898,2835345345
fw,-77.9353485107421,-58.0034027099609,75.9927215576171,-168.741317749023,2835362012
fw,-79.6921768188476,-56.3659934997558,85.6558303833007,-100.249237060546,2835378679
fw,-81.5060424804687,-54.3294563293457,90.2306900024414,-127.803970336914,2835395346
fw,-83.2385940551757,-52.4877052307128,87.0020751953125,-118.798217773437,2835412013
fw,-84.8821258544921,-50.7802848815918,84.5001831054687,-111.854995727539,2835428680
fw,-86.4322357177734,-49.4614181518554,83.0919189453125,-87.4338912963867,2835445347
fw,-87.87109375,-48.9882774353027,83.5766830444336,-35.3782691955566,2835462014
fw,-88.8174972534179,-49.2695274353027,85.4905014038086,10.8517389297485,2835478681
fw,-88.2408599853515,-49.7966003417968,81.0026550292968,24.7587871551513,2835495348
fw,-87.1290130615234,-50.7930564880371,69.4271087646484,53.6638679504394,2835512015
fw,-85.9985122680664,-52.4130058288574,63.4617271423339,93.0950164794921,2835528682
fw,-84.8236541748046,-53.6735954284668,62.4640350341796,67.9508209228515,2835545349
fw,-83.6164093017578,-55.3392066955566,61.8001327514648,90.0136795043945,2835562016
fw,-82.5004348754882,-56.8689537048339,54.4645767211914,80.7359466552734,2835578683
fw,-81.5161743164062,-57.7096366882324,48.6705780029296,38.7454566955566,2835595350
fw,-80.7599029541015,-58.5177345275878,37.0904235839843,39.4797134399414,2835612017
fw,-80.3834991455078,-59.0111961364746,14.9146270751953,21.4653816223144,2835628684
fw,-80.3175354003906,-59.0965538024902,1.2197858095169,-3.59531760215759,2835645351
fw,-80.5129699707031,-58.9496612548828,-8.64604568481445,-14.4743137359619,2835662018
fw,-81.0745239257812,-58.5118598937988,-25.1160640716552,-31.5428409576416,2835678685
fw,-82.1472015380859,-58.8674736022949,-49.1406211853027,16.3763275146484,2835695352
fw,-84.0595397949218,-59.1456260681152,-92.3032302856445,18.5746479034423,2835712019
fw,-86.6105422973632,-58.2054595947265,-121.663848876953,-51.3643112182617,2835728686
fw,-88.5744018554687,-57.0175666809082,-126.951263427734,-65.7572021484375,2835745353
fw,-86.7296066284179,-56.50634765625,-113.792404174804,-32.7921485900878,2835762020
fw,-83.8830795288086,-57.063678741455,-126.094352722167,21.80149269104,2835778687
fw,-81.0031356811523,-57.8129272460937,-140.262771606445,37.659122467041,2835795354
fw,-78.3409194946289,-58.8987236022949,-159.096527099609,62.7784080505371,2835812021
fw,-75.425308227539,-60.4812927246093,-192.395446777343,92.8416748046875,2835828688
fw,-72.1285858154296,-62.1065292358398,-213.728897094726,94.994644165039,2835845355
fw,-68.986213684082,-63.6850814819335,-188.005538940429,91.8908767700195,2835862022
fw,-66.2214202880859,-65.3486862182617,-156.034942626953,96.1324691772461,2835878689
fw,-63.6895599365234,-67.0300979614257,-137.08186340332,96.271255493164,2835895356
fw,-61.4267463684082,-68.8528213500976,-128.449935913085,104.580932617187,2835912023
fw,-59.3474464416503,-70.7010040283203,-120.834014892578,106.8052444458,2835928690
fw,-57.6692352294921,-72.6472015380859,-97.8452758789062,113.971168518066,2835945357
fw,-56.3478469848632,-74.6231002807617,-75.528579711914,117.036521911621,2835962024
fw,-55.5291938781738,-76.6220779418945,-45.0754203796386,119.600776672363,2835978691
fw,-55.1129417419433,-78.6833190917968,-25.2555389404296,124.598197937011,2835995358
fw,-55.0171966552734,-80.7157669067382,-12.6841983795166,123.628349304199,2836012025
fw,-55.2479820251464,-82.6697158813476,-8.48952865600586,120.069396972656,2836028692
fw,-56.3161926269531,-84.5263214111328,50.8411178588867,117.39655303955,2836045359
fw,-57.9020805358886,-86.2154006958007,76.3260650634765,114.530937194824,2836062026
fw,-59.4701042175293,-87.4915008544921,60.9017257690429,110.921325683593,2836078693
fw,-60.9144401550293,-87.634048461914,54.4755058288574,107.601623535156,2836095360
fw,-61.709415435791,-86.5494079589843,23.7375526428222,105.889465332031,2836112027
fw,-62.4509887695312,-84.9683837890625,40.2392387390136,105.547668457031,2836128694
fw,-62.9265251159668,-83.2646331787109,18.5614376068115,105.411552429199,2836145361
fw,-63.2162208557128,-81.5029907226562,2.03120398521423,108.317291259765,2836162028
fw,-63.4399948120117,-79.8252563476562,3.74072170257568,102.036392211914,2836178695
fw,-63.9997215270996,-78.6553649902343,25.41255569458,69.0322036743164,2836195362
fw,-64.7937927246093,-78.2303771972656,37.25439453125,24.3048362731933,2836212029
fw,-64.8554992675781,-78.6340179443359,-5.21097898483276,-23.9183101654052,2836228696
fw,-64.5477600097656,-79.9352188110351,-23.1526336669921,-77.4398956298828,2836245363
fw,-64.1928253173828,-82.3540954589843,-27.5348644256591,-146.722244262695,2836262030
fw,-64.224983215332,-85.6466217041015,10.1517171859741,-198.24949645996,2836278697
fw,-65.268569946289,-89.2417907714843,70.5795135498046,-221.189834594726,2836295364
fw,-66.711067199707,-85.9475402832031,71.1611099243164,-252.70066833496,2836312031
fw,-68.2551651000976,-81.6876907348632,74.4758987426757,-245.306991577148,2836328698
fw,-69.7511901855468,-77.9458465576171,73.7198715209961,-219.56150817871,2836345365
fw,-71.1908111572265,-74.1111831665039,71.5334320068359,-233.132385253906,2836362032
fw,-72.5295257568359,-69.9027938842773,62.1772804260253,-257.474945068359,2836378699
fw,-73.8519439697265,-65.9154510498046,53.4207115173339,-242.883956909179,2836395366
fw,-75.186294555664,-62.2076148986816,50.7927818298339,-227.424545288085,2836412033
fw,-76.5906448364257,-58.7324142456054,56.5603370666503,-215.271194458007,2836428700
fw,-78.1075820922851,-55.9967308044433,64.7096252441406,-166.517547607421,2836445367
fw,-79.7211151123046,-53.51460647583,71.7306060791015,-151.166778564453,2836462034
fw,-81.4350051879882,-51.1176986694335,81.6955642700195,-150.350326538085,2836478701
fw,-83.1573715209961,-49.195571899414,86.2183990478515,-124.53955078125,2836495368
fw,-84.8434143066406,-47.8538284301757,87.6015853881836,-90.4452667236328,2836512035
fw,-86.4801406860351,-47.1320571899414,86.3797073364257,-51.4616928100585,2836528702
fw,-88.0170288085937,-47.1159744262695,82.2831497192382,-5.52523374557495,2836545369
fw,-89.4225692749023,-47.6210289001464,76.7543792724609,28.2749080657959,2836562036
fw,-89.1304702758789,-48.3168792724609,71.6414794921875,39.47066116333,2836578703
fw,-87.8033218383789,-49.1900444030761,69.2640304565429,47.7586517333984,2836595370
fw,-86.5627136230468,-50.4878158569335,63.0450630187988,68.69580078125,2836612037
fw,-85.3599166870117,-52.2003936767578,60.7644386291503,90.2193069458007,2836628704
fw,-84.0323486328125,-54.4629936218261,68.3978958129882,125.635101318359,2836645371
fw,-82.7401504516601,-56.3198623657226,66.9583358764648,101.202987670898,2836662038
fw,-81.5765991210937,-57.3998908996582,62.2872428894043,54.136131286621,2836678705
fw,-80.7134475708007,-58.3084526062011,45.4292030334472,47.9736595153808,2836695372
fw,-80.3791275024414,-58.60152053833,13.4802045822143,13.0621662139892,2836712039
fw,-80.4295883178711,-58.7397232055664,-6.11835098266601,2.30626344680786,2836728706
fw,-80.8997497558593,-58.6743049621582,-25.5105800628662,-8.82951927185058,2836745373
fw,-81.9750595092773,-59.3392028808593,-53.615249633789,34.0266151428222,2836762040
fw,-83.6013488769531,-60.384666442871,-80.5529403686523,59.4140815734863,2836778707
fw,-85.7646026611328,-60.3778266906738,-110.835289001464,-0.271932363510131,2836795374
fw,-87.8719177246093,-59.6042938232421,-130.154724121093,-47.1266365051269,2836812041
fw,-87.0734405517578,-59.5141105651855,-120.630073547363,-7.15279388427734,2836828708
fw,-84.50146484375,-60.0575523376464,-107.79792022705,29.7743492126464,2836845375
fw,-81.6335830688476,-60.6579627990722,-118.417694091796,32.2962188720703,2836862042
fw,-78.9520645141601,-61.1697731018066,-128.292816162109,27.8183193206787,2836878709
fw,-76.3531112670898,-61.9861526489257,-169.436798095703,46.9028549194335,2836895376
fw,-73.4014053344726,-63.2552642822265,-205.623992919921,74.3931884765625,2836912043
fw,-70.0677185058593,-64.636978149414,-219.411437988281,81.2315139770507,2836928710
fw,-66.904067993164,-66.0765686035156,-191.546981811523,84.6035919189453,2836945377
fw,-64.1053390502929,-67.555679321289,-158.313781738281,86.7758407592773,2836962044
fw,-61.7116355895996,-69.1424255371093,-126.787956237792,93.2598114013671,2836978711
fw,-59.6900215148925,-70.84033203125,-110.365348815917,100.858703613281,2836995378
fw,-58.0808906555175,-72.6322479248046,-90.666030883789,108.166114807128,2837012045
fw,-56.683048248291,-74.4652328491211,-86.6353530883789,112.330978393554,2837028712
fw,-55.4018402099609,-76.3735733032226,-89.0475082397461,118.345512390136,2837045379
fw,-54.4246101379394,-78.493537902832,-78.7374649047851,135.364562988281,2837062046
fw,-53.8540802001953,-80.6966400146484,-57.5202140808105,148.704895019531,2837078713
fw,-53.7846069335937,-82.7672500610351,-30.9841938018798,152.979843139648,2837095380
fw,-54.1878128051757,-84.3207321166992,-5.71580934524536,138.97509765625,2837112047
fw,-55.2675476074218,-85.1334533691406,37.2653884887695,113.379676818847,2837128714
fw,-56.9222526550293,-85.3139114379882,77.790283203125,98.1670227050781,2837145381
fw,-58.0499420166015,-84.9354629516601,21.5520706176757,91.6092910766601,2837162048
fw,-58.9563026428222,-84.2057342529296,6.63747978210449,79.4730987548828,2837178715
fw,-59.9317626953125,-83.3881454467773,26.2095508575439,64.8714218139648,2837195382
fw,-60.894920349121,-82.5173797607421,28.8459510803222,61.0752182006835,2837212049
fw,-61.5954246520996,-81.5505981445312,9.60104179382324,66.7923965454101,2837228716
fw,-62.0114059448242,-80.50048828125,3.25547218322753,70.9946365356445,2837245383
fw,-62.3001251220703,-79.5128707885742,0.190017759799957,64.2883377075195,2837262050
fw,-62.6187324523925,-78.8275985717773,-5.48190259933471,41.3189849853515,2837278717
fw,-63.2956504821777,-78.6276397705078,21.7106246948242,7.98748731613159,2837295384
fw,-63.6791801452636,-78.9890365600586,19.7881565093994,-24.3628692626953,2837312051
fw,-63.0802688598632,-80.0213775634765,-31.6886730194091,-61.4634399414062,2837328718
fw,-62.3586654663085,-82.0930938720703,-34.9256973266601,-121.01887512207,2837345385
fw,-61.9660186767578,-84.9024963378906,-8.78362846374511,-163.52049255371,2837362052
fw,-62.457218170166,-88.0525817871093,32.1890411376953,-208.318252563476,2837378719
fw,-63.8018684387207,-86.5768661499023,58.2762336730957,-249.285598754882,2837395386
fw,-65.3757019042968,-82.6256256103515,76.384765625,-241.848373413085,2837412053
fw,-66.6780700683593,-78.8564910888671,68.0539779663086,-224.078308105468,2837428720
fw,-67.9979629516601,-75.0564193725586,66.4512176513671,-227.529678344726,2837445387
fw,-69.3415603637695,-71.0264282226562,63.0586776733398,-244.89990234375,2837462054
fw,-70.7327575683593,-67.3643417358398,63.2336196899414,-223.57876586914,2837478721
fw,-72.2406845092773,-64.5129165649414,69.7825393676757,-175.456558227539,2837495388
fw,-73.8209075927734,-61.7566108703613,73.124153137207,-170.704986572265,2837512055
fw,-75.4981307983398,-58.7397422790527,79.6506423950195,-183.643203735351,2837528722
fw,-77.1695861816406,-56.6110725402832,78.7915725708007,-124.654640197753,2837545389
fw,-78.8741912841796,-54.7373619079589,80.7451782226562,-112.749275207519,2837562056
fw,-80.6356964111328,-52.7155075073242,87.9014358520507,-126.45506286621,2837578723
fw,-82.3898086547851,-50.9758682250976,90.0804138183593,-111.364074707031,2837595390
fw,-84.1290130615234,-49.6872596740722,90.9742889404296,-83.589485168457,2837612057
fw,-85.7967681884765,-48.9797668457031,89.2369232177734,-48.2796363830566,2837628724
fw,-87.3800506591796,-48.92427444458,88.3551177978515,-9.6505708694458,2837645391
fw,-88.7686996459961,-49.3747406005859,90.4136276245117,20.4310855865478,2837662058
fw,-88.7294311523437,-50.2706184387207,86.7887802124023,47.5439949035644,2837678725
