Label,Left_Hip_q,Right_Hip_q,Left_Hip_qd,Right_Hip_qd,SampleTimeFine
sw,-88.4789047241211,-78.2470626831054,65.4904861450195,-135.003555297851,2414909763
sw,-87.3160629272461,-76.1684494018554,61.36715010765135,-130.38823101261224,2414926430
sw,-86.202278137207,-74.1124420166015,58.548570211055456,-120.57723772131304,2414943097
sw,-85.2174224853515,-72.1159896850586,55.99539762586214,-110.8262696228691,2414959764
sw,-84.3277435302734,-70.2655181884765,53.92507072407188,-101.05218156228548,2414976431
sw,-83.4380416870117,-68.6687316894531,52.42120648991812,-91.07766701175137,2414993098
sw,-82.4970626831054,-67.2909927368164,51.45735039722523,-80.62383568175032,2415009765
sw,-81.4876327514648,-66.0575866699218,50.97329322353779,-69.34788750063205,2415026432
sw,-80.4861145019531,-64.9291763305664,50.9639987513337,-56.937650647177534,2415043099
sw,-79.5560531616211,-63.9745788574218,51.53062375826068,-43.24911422282956,2415059766
sw,-78.6997756958007,-63.3150634765625,52.858139115485635,-28.44382635441003,2415076433
sw,-77.8402481079101,-63.0257492065429,55.11787966861187,-13.068892003685304,2415093100
sw,-76.9265518188476,-63.0934219360351,58.32828717435997,1.9655311307186958,2415109767
sw,-75.9253692626953,-63.3779602050781,62.226364391406314,15.522689405834042,2415126434
sw,-74.9068222045898,-63.9008140563964,66.19993335870186,26.462664387140943,2415143101
sw,-73.8174743652343,-64.7234420776367,69.3118703684565,33.89797813687532,2415159768
sw,-72.6341705322265,-65.7527465820312,70.42091260048113,37.414850420134094,2415176435
sw,-71.3647232055664,-66.7516021728515,68.37571883231364,37.19781008269838,2415193102
sw,-70.1110458374023,-67.7508316040039,62.23479556220059,34.0164596398961,2415209769
sw,-69.1122589111328,-68.5327835083007,51.45286837932612,29.06976982002976,2415226436
sw,-68.5143890380859,-68.9265899658203,35.98325432864901,23.725435679367997,2415243103
sw,-68.3900680541992,-69.1835556030273,16.27633702039921,19.224799422177963,2415259770
sw,-68.6283950805664,-69.5442352294921,-6.807383094328252,16.43590267219724,2415276437
sw,-69.0929412841796,-69.9657440185546,-32.12635698184835,15.722593104458722,2415293104
sw,-69.9742813110351,-70.6280670166015,-58.3872723483321,16.958575639119974,2415309771
sw,-71.3881225585937,-71.6621704101562,-84.25338368796687,19.664902454949583,2415326438
sw,-73.1607055664062,-72.4409561157226,-108.43137710925083,23.20843010898057,2415343105
sw,-75.2665786743164,-73.0353393554687,-129.7439499056214,26.987238244197442,2415359772
sw,-77.5577774047851,-73.7421951293945,-147.19268473447286,30.5532406194495,2415376439
sw,-80.0285720825195,-74.7053833007812,-160.01189298018514,33.663618807678354,2415393106
sw,-82.4585266113281,-75.7531814575195,-167.712715320147,36.27921279832303,2415409773
sw,-84.7250442504882,-76.7233734130859,-170.11673662548813,38.52694520332718,2415426440
sw,-86.5916519165039,-77.6000518798828,-167.37837606904114,40.6329149125591,2415443107
sw,-86.8941116333007,-78.4586639404296,-159.99422430375054,42.83475141826941,2415459774
sw,-85.4369659423828,-79.4095382690429,-148.79393680818097,45.29518089045113,2415476441
sw,-83.4949493408203,-80.4565353393554,-134.90210126218315,48.04589718009804,2415493108
sw,-81.5504074096679,-81.4785537719726,-119.65743002634296,50.98058512148043,2415509775
sw,-79.7866973876953,-82.4733200073242,-104.47864455221091,53.894710203010675,2415526442
sw,-78.2841567993164,-83.4493179321289,-90.67819024519453,56.55250316388202,2415543109
sw,-77.0635375976562,-84.4609146118164,-79.2459408300597,58.75674955108056,2415559776
sw,-75.9772109985351,-85.5163803100586,-70.64987679564445,60.40143797394952,2415576443
sw,-74.9271163940429,-86.6086959838867,-64.71629590547832,61.49414739300648,2415593110
sw,-73.8899536132812,-87.6858978271484,-60.64483084281409,62.141707610769394,2415609777
sw,-72.8719177246093,-88.7231369018554,-57.18017421123179,62.50111344774484,2415626444
sw,-71.9113998413086,-89.7079162597656,-52.91369064128569,62.709090465812,2415643111
sw,-71.0628356933593,-89.1908493041992,-46.64254842109659,62.81448635088391,2415659778
sw,-70.3771133422851,-88.1249694824218,-37.68890648355876,62.74085969997407,2415676445
sw,-69.9309463500976,-87.0091934204101,-26.086878413627666,62.29756612611542,2415693112
sw,-69.7489318847656,-85.8757858276367,-12.579916126854844,61.23836924937509,2415709779
sw,-69.8465957641601,-84.7600784301757,1.574591393640677,59.345546221626144,2415726446
sw,-70.3342514038086,-83.6815872192382,14.93946010813994,56.504623641892955,2415743113
sw,-71.2453384399414,-82.6880493164062,26.272490173266974,52.73651120969126,2415759780
sw,-72.0436553955078,-81.8734664916992,34.82713431962311,48.169811375323754,2415776447
sw,-72.8797607421875,-81.215103149414,40.4856490061432,42.96059802597019,2415793114
sw,-73.7499237060546,-80.6085968017578,43.68935437271836,37.19015223764087,2415809781
sw,-74.5126800537109,-80.1148986816406,45.20442931672871,30.782616078820336,2415826448
sw,-75.2564239501953,-79.7791137695312,45.819581541923796,23.478931216324902,2415843115
sw,-75.9685134887695,-79.5435943603515,46.09109939430926,14.883948734373883,2415859782
sw,-76.7118606567382,-79.4475631713867,46.22627821050986,4.5786049451925805,2415876449
sw,-77.7988815307617,-79.5187225341796,46.13797877977595,-7.733535458719637,2415893116
sw,-79.0045776367187,-79.7611923217773,45.63189888530977,-22.090195633179018,2415909783
sw,-80.2288131713867,-80.2870178222656,44.63182029177757,-38.19011215593881,2415926450
sw,-81.0700759887695,-81.3291397094726,43.33287749442539,-55.39803531650292,2415943117
sw,-81.5593643188476,-82.7451553344726,42.20902345314523,-72.8352784278645,2415959784
sw,-82.2063598632812,-84.2860488891601,41.871142193645326,-89.5251301301678,2415976451
sw,-82.9749603271484,-85.8186264038086,42.83915587697978,-104.54563057942917,2415993118
sw,-83.808723449707,-86.8315811157226,45.32327325423197,-117.14790312740708,2416009785
sw,-84.6234588623046,-86.3979415893554,49.10031495141348,-126.81956299377856,2416026452
sw,-85.5900268554687,-84.68994140625,53.534172734238936,-133.29511465468232,2416043119
sw,-86.7455062866211,-82.5705413818359,57.73958134563064,-136.5292757716427,2416059786
sw,-87.9454803466796,-80.4186096191406,60.8381089228125,-136.65361530181474,2416076453
sw,-89.1663208007812,-78.336799621582,62.22098584792333,-133.93385464077522,2416093120
sw,-89.3456878662109,-76.2662582397461,61.72981947621764,-128.73686628477054,2416109787
sw,-88.0253372192382,-74.2396621704101,59.694575657029134,-121.50561339766166,2416126454
sw,-86.8351058959961,-72.2784576416015,56.816550244819766,-112.73136758690593,2416143121
sw,-85.9104537963867,-70.3885955810546,53.93735868522756,-102.91055887773679,2416159788
sw,-85.1359024047851,-68.6524200439453,51.77790713063067,-92.48118685209467,2416176455
sw,-84.3357620239257,-67.1413040161132,50.74561259776435,-81.74880789423104,2416193122
sw,-83.4017715454101,-65.9198379516601,50.87999493714872,-70.82848702081355,2416209789
sw,-82.3294677734375,-64.9098129272461,51.94302903014088,-59.63752535630692,2416226456
sw,-81.2474288940429,-63.9930114746093,53.59316740736254,-47.96444025442833,2416243123
sw,-80.2991714477539,-63.2084083557128,55.548799824412974,-35.60969746020786,2416259790
sw,-79.4485778808593,-62.7511329650878,57.66537444183935,-22.555214921910967,2416276457
sw,-78.5980148315429,-62.6404724121093,59.905354585633575,-9.09620666448822,2416293124
sw,-77.6797180175781,-62.7720413208007,62.23685191195845,4.1224921286797915,2416309791
sw,-76.669807434082,-63.1654930114746,64.52563212404928,16.18752156251599,2416326458
sw,-75.6075592041015,-63.7668113708496,66.47842109305373,26.095022905238345,2416343125
sw,-74.4915084838867,-64.5313644409179,67.66468047216216,32.97508828575458,2416359792
sw,-73.2902069091796,-65.4459381103515,67.60695922599777,36.30133268344033,2416376459
sw,-71.98388671875,-66.3861923217773,65.90011337793284,36.03110990101844,2416393126
sw,-70.7555160522461,-67.2793655395507,62.30565588665141,32.64151934166065,2416409793
sw,-69.8041381835937,-68.0706558227539,56.77549840006863,27.052127475958738,2416426460
sw,-69.116828918457,-68.548713684082,49.39063713887857,20.450544665323733,2416443127
sw,-68.6073150634765,-68.7147598266601,40.243997069443225,14.05841440161068,2416459794
sw,-68.2737426757812,-68.7646942138671,29.330259739275434,8.89259569216041,2416476461
sw,-68.1278610229492,-68.9786834716796,16.50908592466398,5.584731987779018,2416493128
sw,-68.1224060058593,-69.2743072509765,1.5781580049063142,4.311278668535321,2416509795
sw,-68.1895599365234,-69.623046875,-15.558057842790877,4.850766755932464,2416526462
sw,-68.3578033447265,-70.3488693237304,-34.688208319343566,6.738180751848134,2416543129
sw,-69.0400314331054,-70.9733123779296,-55.154723953782145,9.450712533081058,2416559796
sw,-70.3612518310546,-71.2902679443359,-75.85444132644092,12.553324842467573,2416576463
sw,-72.0885848999023,-71.690071105957,-95.40325903056902,15.761512729786263,2416593130
sw,-74.0939407348632,-72.2709808349609,-112.41642285949435,18.92708756628471,2416609797
sw,-76.3293762207031,-73.031997680664,-125.80515686024808,21.988946994588943,2416626464
sw,-78.4959564208984,-73.8857421875,-134.98665138893068,24.932078335436078,2416643131
sw,-80.4971160888671,-74.7465896606445,-139.94518063371035,27.772360307233786,2416659798
sw,-82.3758087158203,-75.5565490722656,-141.14408150682115,30.558081261244595,2416676465
sw,-84.1672286987304,-76.3820419311523,-139.34214006981878,33.368945563994096,2416693132
sw,-85.725845336914,-77.2604064941406,-135.39061350114594,36.29935162270924,2416709799
sw,-86.5848846435546,-78.2059860229492,-130.07344960330292,39.425064945543966,2416726466
sw,-86.2902908325195,-79.1659851074218,-124.0182652475666,42.762555156644545,2416743133
sw,-85.0907287597656,-80.0500335693359,-117.67165665728234,46.23570976564719,2416759800
sw,-83.5373840332031,-80.8754730224609,-111.3131415893446,49.666224630584956,2416776467
sw,-81.9281463623046,-81.766128540039,-105.079137733486,52.800703992365776,2416793134
sw,-80.4052124023437,-82.8014526367187,-98.97806096439875,55.37617995856178,2416809801
sw,-79.0052947998046,-83.9306640625,-92.89439979282565,57.206953224181916,2416826468
sw,-77.64892578125,-85.048843383789,-86.59517932321857,58.258520184995305,2416843135
sw,-76.3258743286132,-86.0949020385742,-79.75728672695428,58.672070338693764,2416859802
sw,-75.109619140625,-87.0932388305664,-72.0252990141792,58.721346938987956,2416876469
sw,-74.0499877929687,-88.0759353637695,-63.0932243290334,58.71415256552893,2416893136
sw,-73.2060089111328,-89.1572113037109,-52.791191181157544,58.8762559798136,2416909803
sw,-72.5897521972656,-90.0,-41.15591669000852,59.262282626395184,2416926470
sw,-72.1014175415039,-89.115966796875,-28.468885460513285,59.72469829423898,2416943137
sw,-71.6866455078125,-87.9390182495117,-15.251486500198977,59.947483968500954,2416959804
sw,-71.6289825439453,-86.8532180786132,-2.209593979076235,59.52814639615699,2416976471
sw,-72.0125961303711,-85.8085250854492,9.87281748980569,58.07873600709823,2416993138
sw,-72.5063552856445,-84.7685394287109,20.274861355380562,55.3149284594179,2417009805
sw,-73.1372375488281,-83.753547668457,28.47916934895414,51.10865278216804,2417026472
sw,-73.8363037109375,-82.8959121704101,34.269125436372356,45.49078987369291,2417043139
sw,-74.7683944702148,-82.2243118286132,37.752872492660224,38.60474971685955,2417059806
sw,-75.6465606689453,-81.7311706542968,39.30783843915367,30.627595414067553,2417076473
sw,-76.3157501220703,-81.4207611083984,39.464447599024375,21.687861509642236,2417093140
