Label,Left_Hip_q,Right_Hip_q,Left_Hip_qd,Right_Hip_qd,SampleTimeFine
sts,-84.1701202392578,-86.5482711791992,-0.849611699581146,1.68188977241516,1281790059
sts,-84.1661529541015,-86.5640792846679,-1.29632270336151,-0.249083504080772,1281806726
sts,-84.1656112670898,-86.5862579345703,-1.70814943313598,-0.520975112915039,1281823393
sts,-84.133056640625,-86.5919952392578,0.505524218082428,-0.214301466941833,1281840060
sts,-84.1077117919921,-86.5866012573242,0.228215545415878,0.142899647355079,1281856727
sts,-84.1136703491211,-86.5839614868164,-1.99626672267913,1.73649656772613,1281873394
sts,-84.1552429199218,-86.5930938720703,-4.35148239135742,-1.16626167297363,1281890061
sts,-84.1946182250976,-86.61962890625,-4.97366666793823,-3.99309682846069,1281906728
sts,-84.2236251831054,-86.6268157958984,-4.59891366958618,-3.90888237953186,1281923395
sts,-84.2481689453125,-86.631233215332,-4.32114505767822,-2.74915218353271,1281940062
sts,-84.2776565551757,-86.6319274902343,-4.74554634094238,-2.03384065628051,1281956729
sts,-84.3256301879882,-86.6343154907226,-6.13133525848388,-4.07960319519043,1281973396
sts,-84.3901443481445,-86.6375122070312,-8.20449161529541,-5.49593544006347,1281990063
sts,-84.4620819091796,-86.6450881958007,-9.73890018463134,-6.14234828948974,1282006730
sts,-84.603515625,-86.6606521606445,-15.523283958435,-10.2825841903686,1282023397
sts,-84.7634811401367,-86.6622848510742,-19.2925605773925,-17.6267623901367,1282040064
sts,-84.9466171264648,-86.622932434082,-25.3490867614746,-24.8012466430664,1282056731
sts,-85.12890625,-86.5294876098632,-27.6879444122314,-28.6515026092529,1282073398
sts,-85.363166809082,-86.3382568359375,-34.1314811706543,-30.4989986419677,1282090065
sts,-85.5976257324218,-86.0081634521484,-41.5919685363769,-38.1392822265625,1282106732
sts,-85.7150421142578,-85.5464477539062,-47.3563766479492,-44.5972442626953,1282123399
sts,-85.640998840332,-84.8701629638671,-55.2550811767578,-54.6220359802246,1282140066
sts,-85.2756195068359,-83.9622039794921,-56.3743133544921,-63.5623130798339,1282156733
sts,-84.5661392211914,-82.955581665039,-53.4548301696777,-63.1917152404785,1282173400
sts,-83.5718765258789,-82.0148544311523,-64.2802505493164,-54.2814254760742,1282190067
sts,-82.3827667236328,-81.0249557495117,-68.0442657470703,-55.2971420288085,1282206734
sts,-81.1541137695312,-79.9950408935546,-62.0323867797851,-57.2393417358398,1282223401
sts,-79.9802551269531,-78.9101181030273,-44.8716735839843,-59.7905464172363,1282240068
sts,-78.8535003662109,-77.6962738037109,-48.29927444458,-65.5569229125976,1282256735
sts,-77.8283386230468,-76.2408752441406,-56.2915573120117,-79.3905258178711,1282273402
sts,-76.7447052001953,-74.731330871582,-76.8003692626953,-82.655403137207,1282290069
sts,-75.5120010375976,-73.2895812988281,-85.3602905273437,-79.3308868408203,1282306736
sts,-74.1910705566406,-71.9185714721679,-77.3423995971679,-76.1349716186523,1282323403
sts,-72.7344284057617,-70.5588226318359,-72.2798767089843,-77.3549652099609,1282340070
sts,-71.1004180908203,-69.253791809082,-78.0518035888671,-75.9297485351562,1282356737
sts,-69.4803619384765,-67.961441040039,-78.6482009887695,-76.1956710815429,1282373404
sts,-68.1392364501953,-66.6100692749023,-69.058967590332,-78.7065734863281,1282390071
sts,-66.9072647094726,-65.3803558349609,-73.7114639282226,-67.730728149414,1282406738
sts,-65.7580871582031,-64.113052368164,-75.49267578125,-67.9762878417968,1282423405
sts,-64.6740112304687,-62.8128242492675,-72.2422180175781,-70.142951965332,1282440072
sts,-63.5927505493164,-61.5664329528808,-69.6960678100586,-67.7238693237304,1282456739
sts,-62.5411415100097,-60.3483200073242,-65.3302001953125,-67.2951278686523,1282473406
sts,-61.5862312316894,-59.2682228088378,-59.1022987365722,-61.2501258850097,1282490073
sts,-60.7439804077148,-58.271499633789,-51.9541893005371,-59.0946960449218,1282506740
sts,-59.9359550476074,-57.2839393615722,-48.9151000976562,-60.7797164916992,1282523407
sts,-59.13032913208,-56.302391052246,-47.9787635803222,-60.8586196899414,1282540074
sts,-58.3594512939453,-55.373233795166,-45.6968574523925,-58.0441246032714,1282556741
sts,-57.6130142211914,-54.5740890502929,-45.0349349975585,-51.0447578430175,1282573408
sts,-56.946792602539,-53.8556404113769,-40.840103149414,-46.3053092956543,1282590075
sts,-56.4123001098632,-53.0808563232421,-31.9304523468017,-48.8523941040039,1282606742
sts,-55.9309463500976,-52.3744354248046,-29.0159893035888,-43.0949783325195,1282623409
sts,-55.4054832458496,-51.7483711242675,-32.8392753601074,-38.3525199890136,1282640076
sts,-54.855857849121,-51.1625175476074,-35.6932144165039,-36.5362014770507,1282656743
sts,-54.3433952331543,-50.6591567993164,-34.1437187194824,-31.4031372070312,1282673410
