Label,Left_Hip_q,Right_Hip_q,Left_Hip_qd,Right_Hip_qd,SampleTimeFine
sw,-74.9056549072265,-80.7328262329101,75.7380218505859,13.2693061828613,1254201281
sw,-75.9394149780273,-80.7371368408203,57.2340087890625,-0.69423234462738,1254217948
sw,-76.8232727050781,-81.0306091308593,49.9300193786621,-18.9463062286376,1254234615
sw,-77.538215637207,-81.6331787109375,40.7768402099609,-39.156623840332,1254251282
sw,-78.1114425659179,-82.5189056396484,32.3549537658691,-60.1321716308593,1254267949
sw,-78.4754562377929,-83.566535949707,19.027244567871,-82.3826599121093,1254284616
sw,-78.7800064086914,-84.5325241088867,15.740514755249,-110.870742797851,1254301283
sw,-79.1951293945312,-84.6825714111328,24.6807537078857,-130.973541259765,1254317950
sw,-79.5758590698242,-83.6334533691406,27.6498088836669,-132.552551269531,1254334617
sw,-79.9855880737304,-81.9442672729492,34.4424705505371,-120.696685791015,1254351284
sw,-80.5121688842773,-80.2048797607421,44.5817146301269,-114.980529785156,1254367951
sw,-81.0378799438476,-78.6305694580078,47.175682067871,-120.326377868652,1254384618
sw,-81.4276275634765,-77.0758361816406,42.7045783996582,-128.012802124023,1254401285
sw,-81.666389465332,-75.4492950439453,36.4544258117675,-129.734878540039,1254417952
sw,-81.7332611083984,-73.7772216796875,30.1571292877197,-121.659355163574,1254434619
sw,-81.6529693603515,-72.0158767700195,27.6599750518798,-119.811408996582,1254451286
sw,-81.4573516845703,-70.12548828125,26.7796421051025,-125.455863952636,1254467953
sw,-81.1513366699218,-68.2160491943359,23.4663677215576,-127.188735961914,1254484620
sw,-80.7614974975586,-66.4374771118164,19.5788612365722,-120.128982543945,1254501287
sw,-80.3381423950195,-64.7316055297851,17.9093475341796,-117.527503967285,1254517954
sw,-79.9964981079101,-63.0668067932128,23.6709556579589,-112.564880371093,1254534621
sw,-79.751106262207,-61.5342559814453,30.8407325744628,-100.551658630371,1254551288
sw,-79.5057220458984,-60.2506027221679,33.4301872253418,-81.1129608154296,1254567955
sw,-79.1989974975586,-59.223949432373,31.8529567718505,-62.6184730529785,1254584622
sw,-78.8224182128906,-58.433422088623,28.4461345672607,-47.7703247070312,1254601289
sw,-78.410888671875,-57.8759422302246,28.4528293609619,-35.51025390625,1254617956
sw,-78.0166625976562,-57.5500144958496,30.4422245025634,-23.4925460815429,1254634623
sw,-77.6464004516601,-57.4587364196777,31.0288696289062,-9.66927528381347,1254651290
sw,-77.261604309082,-57.6667747497558,32.0098304748535,7.75325441360473,1254667957
sw,-76.8197021484375,-58.0988464355468,32.8055763244628,24.3313846588134,1254684624
sw,-76.3076248168945,-58.5691528320312,33.050308227539,32.0813903808593,1254701291
sw,-75.7480545043945,-58.9899253845214,34.4024696350097,32.1739196777343,1254717958
